id	total	quantity	taste	delivery	document
371041	5	5	5	5	맛은 미쳤다 정도는 아니고 보통정도.. 하지만 집밥느낌이고 배달빠르고 새벽에 시키기엔 적절한 듯
371041	5	5	5	5	맛 양 다 빠지지않게 맛있게 먹었습니다.
371041	5	5	5	5	김볶 꾸준히 잘 먹고있습니다 앞으로도 잘부탁드려요
371041	5	5	5	5	내가 원했던 일본 가츠동의 맛
371041	5	5	5	5	너무 맛있어요..!!!진짜 자주시켜먹고싶은맛입니당번창하세요!
371041	5	5	5	5	진짜 너무 자극적이지도 않고 잘먹었습니다~근데 치즈돈까스는 언제쯤??나올까용 먹고싶네요
371041	5	5	5	5	맛있게 아주 잘먹었어요 ~^^//
371041	4	5	4	5	매번 취소되다 오랜만에 주문이 되었습니다.잘 먹었습니다!
371041	5	5	5	5	배달빠르고 잘 받았습니다
371041	5	5	5	5	언제나 맛있어요 ㅎㅎ감사합니다또시킬께요
371041	5	5	5	5	언제나 바로. 하신 밥이랑. 음식 너무너무너무맛있어요여긴 늘 맛있습니다.딱 집밥!!!!!항상 감사합니다
371041	5	5	5	5	맛있어요!
371041	5	5	5	5	새벽에도 빠르게 오고 맛있게 먹었습니다 감사합니다
371041	5	5	5	5	맛있게 잘 먹었습니다
371041	5	5	5	5	양도 많고 맛있게 잘먹었어요
371041	5	5	5	5	너무너무너무 맛있어요 ㅎㅎ 감사합니다
371041	5	5	5	5	👍👍👍👍👍👍👍👍👍👍👍
371041	5	5	5	5	맛있어요
371041	5	5	5	5	맛있어요
371041	5	5	5	5	잘먹었어요 맛있어요
371041	5	5	5	5	새벽에 자다깨서 너무 배고파서 시켰는데 역시 언제먹어도 맛있네용 사장님이 혼자 직접 다 만드셔서 그런지 집밥처럼 푸근하고 좋아요! 간도 싱겁다는 분들 계시던데 저는 간 딱맞고 집에서 먹는거같아서 늘 여기서만 시켜요!! 짜게 먹으면 몸에 안좋아요🤣 돈까스도 바삭바삭하고 목막힐까봐 우동국물까지 챙겨주시는 센스 ㅎㅎ 사장님 오늘도 영업 잘하시고 푹쉬십쇼!! 감사히 잘먹었습니다!
371041	5	5	5	5	너무맛있어요 잘 먹었습니다
371041	3	4	3	5	양파나 소스가 부족..밥이 흰밥들이 남아있고 목이 막힘 이 가격에 이 맛이면 안 먹을듯떡볶이는 맛있으나 먹다보네 오뎅이 정말 많음 오뎅과 떡의 비율이 조금 더 균형을 이루었으면 함
371041	5	5	5	5	이번달 먹은 음식중 가장 맛있었습니다 가츠동 여럿곳에서 먹어봤는데 가격도 저렴하고 맛도 엄청좋고 돈가스도 두툼하니 좋았고요 국물떡볶이는 가성비고 좋고 맛도좋고 정말 맛있게 먹었습니다 다음에도 시킬듯한 음식점 이네요
371041	5	5	5	5	맛 있 습 니 다.
371041	5	5	5	5	너무 맛있게 잘먹었습니다 늘 만족합니다
371041	5	5	5	5	오늘도 맛있게 잘 먹었습니다!
371041	5	5	5	5	어제 맛있어서 다른메뉴로 또 시켰어요. 떡볶이는 떡보다 오뎅이많아서 아쉬웠지만 맛있어요.
371041	5	5	5	5	제육이 단맛이 나네요 맛있어요 돈가스도 바삭하고 두툼해서 맛있어요
371041	5	5	5	5	최고네요앞으로 여기서만시킬거에요
371041	5	5	5	5	오! 주문이 되네요. 맛있게 잘 먹었습니다!
371041	5	5	5	5	잘먹었습니다 감사합니다
371041	5	5	5	5	잘먹었습니다 감사합니다
371041	5	5	5	5	잘먹었습니다 감사합니다
371041	3	3	2	5	걍 대충 먹었다;;;;
371041	5	5	5	5	맛있습니다!! 가츠동은 무난하게 맛있고 (양파랑 소스가 더 있으면 좋을 거 같아요)떡볶이는 사이드로 시켰는데 의외로 양도 굉장하고 맛도 있어서 놀랐네요.
371041	5	5	5	5	맛있게 잘먹었습니다.
371041	5	5	5	5	맛있어요 ㅎㅎ감사합니다 또시킬께요
371041	5	5	5	5	가성비 ㅆㅅㅌㅊ 김치볶음밥 좀 싱거움. 소금 2꼬집 넣어서 다시 볶으니까 간 딱 맞음
371041	5	5	5	5	양도 많고 맛있아요~
371041	5	4	4	4	마시써요마시써요맛맛
371041	5	5	5	5	가격도 착학고 양도 많고 맛도 좋아요!번창하셔요
371041	5	5	5	5	맛있어여 너무너무 잘 먹었어요
371041	5	5	5	5	맛있어요 ㅎㅎ감사합니다 또시킬께요 여기 최고!!!!!!!
